scale_set,layers,init_scale,topk,val_acc
quantum,2,1.5707963267948966,ZZ_correlation|Y_first|Z_first,0.75
quantum,2,3.141592653589793,ZZ_correlation|Y_first|Z_first,1.0
quantum,2,6.283185307179586,ZZ_correlation|X_first|XX_correlation,0.800000011920929
quantum,3,1.5707963267948966,ZZ_correlation|XX_correlation|X_first,1.0
quantum,3,3.141592653589793,ZZ_correlation|Z_first|Y_first,0.949999988079071
quantum,3,6.283185307179586,Z_first|ZZ_correlation|XX_correlation,0.8500000238418579
quantum,4,1.5707963267948966,XX_correlation|ZZ_correlation|Y_first,0.800000011920929
quantum,4,3.141592653589793,Z_first|XX_correlation|X_first,0.800000011920929
quantum,4,6.283185307179586,XX_correlation|Z_first|X_first,0.699999988079071
quantum,5,1.5707963267948966,Y_first|ZZ_correlation|X_first,0.8500000238418579
quantum,5,3.141592653589793,ZZ_correlation|Y_first|X_first,0.6499999761581421
quantum,5,6.283185307179586,ZZ_correlation|X_first|Y_first,0.8999999761581421
math,2,1.5707963267948966,ZZ_correlation|Z_first|Y_first,0.8999999761581421
math,2,3.141592653589793,Y_first|X_first|ZZ_correlation,0.949999988079071
math,2,6.283185307179586,Z_first|ZZ_correlation|XX_correlation,0.949999988079071
math,3,1.5707963267948966,XX_correlation|ZZ_correlation|X_first,1.0
math,3,3.141592653589793,Y_first|ZZ_correlation|X_first,0.8999999761581421
math,3,6.283185307179586,X_first|XX_correlation|ZZ_correlation,0.949999988079071
math,4,1.5707963267948966,X_first|Z_first|ZZ_correlation,1.0
math,4,3.141592653589793,XX_correlation|ZZ_correlation|Y_first,0.949999988079071
math,4,6.283185307179586,ZZ_correlation|Z_first|Y_first,0.800000011920929
math,5,1.5707963267948966,Z_first|ZZ_correlation|Y_first,1.0
math,5,3.141592653589793,X_first|Z_first|XX_correlation,0.8500000238418579
math,5,6.283185307179586,Z_first|X_first|XX_correlation,0.8500000238418579
